worker_id,platform,location,earnings_per_day,hours_worked,jobs_completed,rating,date,cluster
76,Uber,Chennai,920.0,10.0,34,6.2,2024-02-07,0
77,Swiggy,Pune,430.0,7.0,18,4.0,2024-02-08,2
80,Freelancer,Delhi,4000.0,6.0,5,4.8,2024-02-09,2
81,Swiggy,Delhi,290.0,6.0,14,4.1,2024-02-10,2
82,Zomato,Mumbai,870.0,11.0,36,4.6,2024-02-10,0
83,Uber,Bangalore,1700.0,13.0,52,4.9,2024-02-11,0
85,Freelancer,Delhi,2800.0,9.0,8,4.7,2024-02-12,2
87,Swiggy,Pune,410.0,7.0,19,4.0,2024-02-13,2
88,Zomato,Mumbai,760.0,10.0,28,4.3,2024-02-13,0
89,Uber,Bangalore,1350.0,12.0,42,4.8,2024-02-14,0
90,Freelancer,Delhi,11000.0,5.0,1,5.6,2024-02-14,2
91,Swiggy,Delhi,305.0,7.0,15,4.2,2024-02-15,2
92,Zomato,Mumbai,880.0,10.0,34,4.5,2024-02-15,0
93,Uber,Bangalore,1250.0,9.0,38,4.6,2024-02-16,0
94,Swiggy,Pune,470.0,8.0,21,4.1,2024-02-16,2
98,Zomato,Mumbai,800.0,11.0,31,4.4,2024-02-18,0
99,Uber,Bangalore,1400.0,12.0,44,4.8,2024-02-19,0
100,Freelancer,Delhi,12000.0,6.0,3,5.7,2024-02-19,2
101,Swiggy,Delhi,270.0,6.0,12,4.0,2024-02-20,2
102,Zomato,Mumbai,920.0,11.0,37,4.6,2024-02-20,0
103,Uber,Bangalore,1800.0,14.0,55,4.9,2024-02-21,0
104,Swiggy,Pune,490.0,0.0,20,4.1,2024-02-21,2
106,Uber,Chennai,910.0,10.0,36,6.0,2024-02-22,0
108,Zomato,Mumbai,740.0,9.0,28,4.3,2024-02-23,0
109,Uber,Bangalore,1500.0,12.0,45,4.8,2024-02-24,0
110,Freelancer,Delhi,20000.0,5.0,1,5.8,2024-02-24,2
111,Swiggy,Delhi,300.0,7.0,15,4.2,2024-02-25,2
112,Zomato,Mumbai,860.0,10.0,32,4.5,2024-02-25,0
113,Uber,Bangalore,1100.0,9.0,36,4.6,2024-02-26,0
114,Swiggy,Pune,480.0,8.0,21,4.1,2024-02-26,2
116,Uber,Chennai,930.0,10.0,34,4.5,2024-02-27,0
118,Zomato,Mumbai,770.0,9.0,29,4.3,2024-02-28,0
119,Uber,Bangalore,1450.0,11.0,41,4.8,2024-02-29,0
120,Freelancer,Delhi,15000.0,6.0,2,5.9,2024-02-29,2
121,Swiggy,Delhi,260.0,6.0,13,4.1,2024-03-01,2
122,Zomato,Mumbai,890.0,11.0,35,4.6,2024-03-01,0
123,Uber,Bangalore,1750.0,13.0,53,4.9,2024-03-02,0
124,Swiggy,Pune,500.0,0.0,22,4.1,2024-03-02,2
128,Zomato,Mumbai,750.0,10.0,30,4.3,2024-03-04,0
129,Uber,Bangalore,1550.0,12.0,46,4.8,2024-03-05,0
130,Freelancer,Delhi,18000.0,5.0,1,5.4,2024-03-05,2
131,Swiggy,Delhi,310.0,7.0,16,4.2,2024-03-06,2
132,Zomato,Mumbai,870.0,10.0,33,4.5,2024-03-06,0
133,Uber,Bangalore,1150.0,9.0,37,4.6,2024-03-07,0
134,Swiggy,Pune,460.0,8.0,21,4.1,2024-03-07,2
138,Zomato,Mumbai,790.0,11.0,30,4.4,2024-03-09,0
139,Uber,Bangalore,1400.0,12.0,43,4.8,2024-03-10,0
140,Freelancer,Delhi,22000.0,6.0,2,6.0,2024-03-10,2
141,Swiggy,Delhi,280.0,6.0,14,4.1,2024-03-11,2
142,Zomato,Mumbai,910.0,11.0,36,4.6,2024-03-11,0
143,Uber,Bangalore,1650.0,13.0,50,4.9,2024-03-12,0
144,Swiggy,Pune,470.0,0.0,20,4.1,2024-03-12,2
146,Uber,Chennai,920.0,10.0,34,6.1,2024-03-13,0
148,Zomato,Mumbai,780.0,9.0,28,4.3,2024-03-14,0
149,Uber,Bangalore,1500.0,12.0,45,4.8,2024-03-15,0
150,Freelancer,Delhi,25000.0,5.0,1,5.9,2024-03-15,2
151,Swiggy,Delhi,300.0,7.0,15,4.2,2024-03-16,2
152,Zomato,Mumbai,860.0,10.0,32,4.5,2024-03-16,0
153,Uber,Bangalore,1100.0,9.0,36,4.6,2024-03-17,0
154,Swiggy,Pune,480.0,8.0,21,4.1,2024-03-17,2
156,Uber,Chennai,930.0,10.0,34,4.5,2024-03-18,0
158,Zomato,Mumbai,770.0,9.0,29,4.3,2024-03-19,0
159,Uber,Bangalore,1450.0,11.0,41,4.8,2024-03-20,0
160,Freelancer,Delhi,30000.0,6.0,2,6.2,2024-03-20,2
161,Swiggy,Delhi,290.0,6.0,14,4.1,2024-03-21,2
162,Zomato,Mumbai,920.0,11.0,36,4.6,2024-03-21,0
163,Uber,Bangalore,1800.0,14.0,55,4.9,2024-03-22,0
168,Zomato,Mumbai,740.0,10.0,30,4.4,2024-03-24,0
170,Freelancer,Delhi,30000.0,5.0,2,5.5,2024-03-25,2
171,Swiggy,Delhi,310.0,7.0,16,4.2,2024-03-26,2
172,Zomato,Mumbai,870.0,10.0,33,4.5,2024-03-26,0
173,Uber,Bangalore,45000.0,11.0,60,4.9,2024-03-27,0
174,Swiggy,Pune,480.0,0.0,20,4.1,2024-03-27,2
176,Uber,Chennai,920.0,10.0,34,6.5,2024-03-28,0
177,Swiggy,Pune,430.0,7.0,18,4.0,2024-03-29,2
180,Freelancer,Delhi,50000.0,6.0,5,5.8,2024-03-30,2
181,Swiggy,Delhi,270.0,6.0,13,4.1,2024-03-31,2
182,Zomato,Mumbai,900.0,11.0,35,4.6,2024-03-31,0
183,Uber,Bangalore,1600.0,13.0,50,4.9,2024-04-01,0
185,Freelancer,Delhi,3200.0,9.0,8,4.7,2024-04-02,2
187,Swiggy,Pune,410.0,7.0,19,4.0,2024-04-03,2
188,Zomato,Mumbai,760.0,10.0,28,4.3,2024-04-03,0
189,Uber,Bangalore,1500.0,12.0,45,4.8,2024-04-04,0
190,Freelancer,Delhi,42000.0,5.0,1,5.9,2024-04-04,2
191,Swiggy,Delhi,300.0,7.0,15,4.2,2024-04-05,2
192,Zomato,Mumbai,880.0,10.0,34,4.5,2024-04-05,0
193,Uber,Bangalore,1200.0,9.0,38,4.6,2024-04-06,0
194,Swiggy,Pune,470.0,8.0,21,4.1,2024-04-06,2
198,Zomato,Mumbai,800.0,11.0,31,4.4,2024-04-08,0
199,Uber,Bangalore,1400.0,12.0,44,4.8,2024-04-09,0
200,Freelancer,Delhi,38000.0,6.0,3,5.7,2024-04-09,2
201,Swiggy,Delhi,260.0,6.0,12,4.0,2024-04-10,2
202,Zomato,Mumbai,920.0,11.0,37,4.6,2024-04-10,0
203,Uber,Bangalore,1900.0,14.0,55,4.9,2024-04-11,0
204,Swiggy,Pune,490.0,0.0,20,4.1,2024-04-11,2
206,Uber,Chennai,910.0,10.0,36,6.0,2024-04-12,0
208,Zomato,Mumbai,740.0,9.0,28,4.3,2024-04-13,0
209,Uber,Bangalore,1500.0,12.0,45,4.8,2024-04-14,0
210,Freelancer,Delhi,47000.0,5.0,1,6.2,2024-04-14,2
211,Swiggy,Delhi,300.0,7.0,15,4.2,2024-04-15,2
212,Zomato,Mumbai,860.0,10.0,32,4.5,2024-04-15,0
213,Uber,Bangalore,1100.0,9.0,36,4.6,2024-04-16,0
214,Swiggy,Pune,480.0,8.0,21,4.1,2024-04-16,2
216,Uber,Chennai,930.0,10.0,34,4.5,2024-04-17,0
218,Zomato,Mumbai,770.0,9.0,29,4.3,2024-04-18,0
219,Uber,Bangalore,1450.0,11.0,41,4.8,2024-04-19,0
220,Freelancer,Delhi,52000.0,6.0,2,6.3,2024-04-19,2
221,Swiggy,Delhi,280.0,6.0,14,4.1,2024-04-20,2
222,Zomato,Mumbai,910.0,11.0,36,4.6,2024-04-20,0
223,Uber,Bangalore,1650.0,13.0,50,4.9,2024-04-21,0
224,Swiggy,Pune,470.0,0.0,20,4.1,2024-04-21,2
226,Uber,Chennai,920.0,10.0,34,6.4,2024-04-22,0
228,Zomato,Mumbai,780.0,9.0,28,4.3,2024-04-23,0
229,Uber,Bangalore,1500.0,12.0,45,4.8,2024-04-24,0
230,Freelancer,Delhi,60000.0,5.0,1,6.5,2024-04-24,2
231,Swiggy,Delhi,300.0,7.0,15,4.2,2024-04-25,2
232,Zomato,Mumbai,860.0,10.0,32,4.5,2024-04-25,0
233,Uber,Bangalore,1100.0,9.0,36,4.6,2024-04-26,0
234,Swiggy,Pune,480.0,8.0,21,4.1,2024-04-26,2
236,Uber,Chennai,930.0,10.0,34,4.5,2024-04-27,0
238,Zomato,Mumbai,770.0,9.0,29,4.3,2024-04-28,0
239,Uber,Bangalore,1450.0,11.0,41,4.8,2024-04-29,0
240,Freelancer,Delhi,70000.0,6.0,2,6.6,2024-04-29,1
241,Swiggy,Delhi,260.0,6.0,13,4.1,2024-04-30,2
242,Zomato,Mumbai,890.0,11.0,35,4.6,2024-04-30,0
243,Uber,Bangalore,1750.0,13.0,53,4.9,2024-05-01,0
244,Swiggy,Pune,500.0,0.0,22,4.1,2024-05-01,2
248,Zomato,Mumbai,750.0,10.0,30,4.3,2024-05-03,0
249,Uber,Bangalore,1550.0,12.0,46,4.8,2024-05-04,0
250,Freelancer,Delhi,80000.0,5.0,1,6.7,2024-05-04,1
251,Swiggy,Delhi,310.0,7.0,16,4.2,2024-05-05,2
252,Zomato,Mumbai,870.0,10.0,33,4.5,2024-05-05,0
253,Uber,Bangalore,1150.0,9.0,37,4.6,2024-05-06,0
254,Swiggy,Pune,460.0,8.0,21,4.1,2024-05-06,2
258,Zomato,Mumbai,790.0,11.0,30,4.4,2024-05-08,0
259,Uber,Bangalore,1400.0,12.0,43,4.8,2024-05-09,0
260,Freelancer,Delhi,90000.0,6.0,2,6.8,2024-05-09,1
261,Swiggy,Delhi,280.0,6.0,14,4.1,2024-05-10,2
262,Zomato,Mumbai,910.0,11.0,36,4.6,2024-05-10,0
263,Uber,Bangalore,1650.0,13.0,50,4.9,2024-05-11,0
264,Swiggy,Pune,470.0,0.0,20,4.1,2024-05-11,2
266,Uber,Chennai,920.0,10.0,34,6.9,2024-05-12,0
268,Zomato,Mumbai,780.0,9.0,28,4.3,2024-05-13,0
269,Uber,Bangalore,1500.0,12.0,45,4.8,2024-05-14,0
270,Freelancer,Delhi,100000.0,5.0,1,7.0,2024-05-14,1
271,Swiggy,Delhi,300.0,7.0,15,4.2,2024-05-15,2
272,Zomato,Mumbai,860.0,10.0,32,4.5,2024-05-15,0
273,Uber,Bangalore,1100.0,9.0,36,4.6,2024-05-16,0
274,Swiggy,Pune,480.0,8.0,21,4.1,2024-05-16,2
276,Uber,Chennai,930.0,10.0,34,4.5,2024-05-17,0
278,Zomato,Mumbai,770.0,9.0,29,4.3,2024-05-18,0
279,Uber,Bangalore,1450.0,11.0,41,4.8,2024-05-19,0
280,Freelancer,Delhi,120000.0,6.0,2,7.2,2024-05-19,1
281,Swiggy,Delhi,260.0,6.0,13,4.1,2024-05-20,2
282,Zomato,Mumbai,890.0,11.0,35,4.6,2024-05-20,0
283,Uber,Bangalore,1750.0,13.0,53,4.9,2024-05-21,0
284,Swiggy,Pune,500.0,0.0,22,4.1,2024-05-21,2
288,Zomato,Mumbai,750.0,10.0,30,4.3,2024-05-23,0
289,Uber,Bangalore,1550.0,12.0,46,4.8,2024-05-24,0
290,Freelancer,Delhi,150000.0,5.0,1,7.5,2024-05-24,1
291,Swiggy,Delhi,310.0,7.0,16,4.2,2024-05-25,2
292,Zomato,Mumbai,870.0,10.0,33,4.5,2024-05-25,0
293,Uber,Bangalore,1150.0,9.0,37,4.6,2024-05-26,0
294,Swiggy,Pune,460.0,8.0,21,4.1,2024-05-26,2
298,Zomato,Mumbai,790.0,11.0,30,4.4,2024-05-28,0
299,Uber,Bangalore,1400.0,12.0,43,4.8,2024-05-29,0
300,Freelancer,Delhi,200000.0,6.0,2,8.0,2024-05-29,1
301,Swiggy,Delhi,280.0,6.0,14,4.1,2024-05-30,2
302,Zomato,Mumbai,910.0,11.0,36,4.6,2024-05-30,0
303,Uber,Bangalore,1650.0,13.0,50,4.9,2024-05-31,0
304,Swiggy,Pune,470.0,0.0,20,4.1,2024-05-31,2
306,Uber,Chennai,920.0,10.0,34,6.8,2024-06-01,0
308,Zomato,Mumbai,780.0,9.0,28,4.3,2024-06-02,0
309,Uber,Bangalore,1500.0,12.0,45,4.8,2024-06-03,0
310,Freelancer,Delhi,250000.0,5.0,1,8.5,2024-06-03,1
311,Swiggy,Delhi,300.0,7.0,15,4.2,2024-06-04,2
312,Zomato,Mumbai,880.0,10.0,34,4.5,2024-06-04,0
313,Uber,Bangalore,1200.0,9.0,38,4.6,2024-06-05,0
314,Swiggy,Pune,480.0,8.0,21,4.1,2024-06-05,2
318,Zomato,Mumbai,760.0,11.0,30,4.4,2024-06-07,0
319,Uber,Bangalore,1450.0,12.0,44,4.8,2024-06-08,0
320,Freelancer,Delhi,300000.0,5.0,1,8.8,2024-06-08,1
321,Swiggy,Delhi,280.0,6.0,14,4.1,2024-06-09,2
322,Zomato,Mumbai,910.0,11.0,36,4.6,2024-06-09,0
323,Uber,Bangalore,1700.0,13.0,50,4.9,2024-06-10,0
324,Swiggy,Pune,470.0,0.0,20,4.1,2024-06-10,2
326,Uber,Chennai,920.0,10.0,34,6.7,2024-06-11,0
328,Zomato,Mumbai,780.0,9.0,28,4.3,2024-06-12,0
329,Uber,Bangalore,1500.0,12.0,45,4.8,2024-06-13,0
330,Freelancer,Delhi,180000.0,5.0,1,7.9,2024-06-13,1
331,Swiggy,Delhi,310.0,7.0,16,4.2,2024-06-14,2
332,Zomato,Mumbai,870.0,10.0,33,4.5,2024-06-14,0
333,Uber,Bangalore,1100.0,9.0,36,4.6,2024-06-15,0
334,Swiggy,Pune,460.0,8.0,21,4.1,2024-06-15,2
338,Zomato,Mumbai,790.0,11.0,30,4.4,2024-06-17,0
339,Uber,Bangalore,1400.0,12.0,43,4.8,2024-06-18,0
340,Freelancer,Delhi,220000.0,6.0,2,7.8,2024-06-18,1
341,Swiggy,Delhi,270.0,6.0,13,4.1,2024-06-19,2
342,Zomato,Mumbai,900.0,11.0,35,4.6,2024-06-19,0
343,Uber,Bangalore,1600.0,13.0,50,4.9,2024-06-20,0
344,Swiggy,Pune,500.0,0.0,22,4.1,2024-06-20,2
348,Zomato,Mumbai,750.0,10.0,30,4.3,2024-06-22,0
349,Uber,Bangalore,1550.0,12.0,46,4.8,2024-06-23,0
350,Freelancer,Delhi,500000.0,5.0,1,9.5,2024-06-23,1
